,prdtypecode
84916,1280
84917,10
84918,2583
84919,2583
84920,2522
84921,1300
84922,1940
84923,2403
84924,1560
84925,2583
84926,2280
84927,1280
84928,1300
84929,1320
84930,1160
84931,1300
84932,1140
84933,2403
84934,1281
84935,50
84936,1140
84937,2585
84938,2522
84939,2522
84940,1140
84941,1920
84942,1320
84943,2583
84944,1280
84945,2462
84946,2060
84947,1140
84948,1560
84949,2583
84950,1920
84951,2583
84952,2060
84953,2705
84954,2220
84955,1140
84956,2905
84957,2583
84958,2462
84959,1280
84960,1280
84961,1280
84962,2585
84963,2583
84964,1280
84965,2522
84966,1300
84967,2403
84968,1920
84969,2462
84970,2583
84971,2583
84972,2403
84973,50
84974,2403
84975,1920
84976,2583
84977,2583
84978,2403
84979,1140
84980,2280
84981,2403
84982,1160
84983,2280
84984,2583
84985,1560
84986,2280
84987,2583
84988,2582
84989,2403
84990,1560
84991,1281
84992,2522
84993,2583
84994,1280
84995,50
84996,2060
84997,2583
84998,1300
84999,1920
85000,10
85001,1560
85002,2583
85003,2583
85004,1300
85005,2585
85006,1140
85007,2583
85008,1280
85009,1300
85010,2583
85011,1560
85012,1140
85013,2583
85014,1940
85015,1320
85016,2583
85017,2583
85018,1160
85019,2583
85020,2583
85021,2280
85022,2403
85023,2403
85024,2522
85025,2585
85026,1281
85027,2280
85028,2583
85029,2220
85030,2280
85031,2522
85032,40
85033,2583
85034,1160
85035,2522
85036,2583
85037,1302
85038,40
85039,1920
85040,2403
85041,1280
85042,1280
85043,1560
85044,2060
85045,1560
85046,1320
85047,2583
85048,1280
85049,2060
85050,2583
85051,1302
85052,2905
85053,1140
85054,2280
85055,2585
85056,2583
85057,2582
85058,2403
85059,2280
85060,1320
85061,2583
85062,1302
85063,1300
85064,1560
85065,1280
85066,2403
85067,2403
85068,1300
85069,40
85070,2583
85071,1920
85072,1281
85073,40
85074,1160
85075,2583
85076,1920
85077,1300
85078,1320
85079,2403
85080,1160
85081,2462
85082,1302
85083,2583
85084,2060
85085,2583
85086,2585
85087,2403
85088,1140
85089,1140
85090,2583
85091,2583
85092,2522
85093,2705
85094,2060
85095,1302
85096,10
85097,1920
85098,2583
85099,2462
85100,2403
85101,1300
85102,2583
85103,2060
85104,10
85105,2522
85106,2583
85107,2583
85108,2585
85109,10
85110,2583
85111,2583
85112,2583
85113,2583
85114,2403
85115,1300
85116,2522
85117,2583
85118,1300
85119,1940
85120,2403
85121,1280
85122,1920
85123,1280
85124,1920
85125,1300
85126,2705
85127,2060
85128,2583
85129,50
85130,50
85131,2582
85132,2060
85133,2583
85134,1560
85135,1560
85136,1140
85137,2522
85138,2060
85139,2522
85140,2280
85141,2583
85142,1320
85143,1300
85144,2905
85145,2583
85146,1300
85147,2583
85148,1280
85149,1180
85150,1280
85151,2522
85152,10
85153,2280
85154,1940
85155,1320
85156,2522
85157,2583
85158,2522
85159,2280
85160,2403
85161,2585
85162,1920
85163,2462
85164,2462
85165,1300
85166,2582
85167,1160
85168,1300
85169,2403
85170,1320
85171,2522
85172,1160
85173,2403
85174,2583
85175,1920
85176,1920
85177,1160
85178,1300
85179,2583
85180,1920
85181,1920
85182,1300
85183,1301
85184,1920
85185,1140
85186,1280
85187,1920
85188,1302
85189,1300
85190,2582
85191,2060
85192,2583
85193,2522
85194,1920
85195,2462
85196,1560
85197,2522
85198,2583
85199,2403
85200,1560
85201,2060
85202,1280
85203,1300
85204,2522
85205,2583
85206,2403
85207,1160
85208,1140
85209,2280
85210,40
85211,2280
85212,1320
85213,1281
85214,1560
85215,2705
85216,2280
85217,2522
85218,2280
85219,2060
85220,1140
85221,1920
85222,1920
85223,1140
85224,1920
85225,2060
85226,1302
85227,2403
85228,1560
85229,2403
85230,1300
85231,2060
85232,1300
85233,1302
85234,2583
85235,10
85236,1160
85237,2583
85238,1320
85239,50
85240,2280
85241,2583
85242,2280
85243,2585
85244,1320
85245,1560
85246,2403
85247,2583
85248,2705
85249,2583
85250,2583
85251,2585
85252,1920
85253,2403
85254,2280
85255,2583
85256,2522
85257,2583
85258,1300
85259,1300
85260,1560
85261,40
85262,1920
85263,2403
85264,2403
85265,2705
85266,2583
85267,1300
85268,1940
85269,2060
85270,1140
85271,2280
85272,1920
85273,2705
85274,1920
85275,2522
85276,1300
85277,2060
85278,2280
85279,2403
85280,1300
85281,1300
85282,2583
85283,2583
85284,2583
85285,1920
85286,2583
85287,2583
85288,2522
85289,2403
85290,1302
85291,1920
85292,1300
85293,1160
85294,2220
85295,2280
85296,1560
85297,1560
85298,1160
85299,1920
85300,2522
85301,2583
85302,1160
85303,1300
85304,1560
85305,1560
85306,1302
85307,1560
85308,2280
85309,2582
85310,1920
85311,1160
85312,1300
85313,2583
85314,1320
85315,2403
85316,1560
85317,1320
85318,2462
85319,2403
85320,2582
85321,2403
85322,2403
85323,1920
85324,2462
85325,2403
85326,10
85327,1160
85328,1280
85329,2583
85330,2522
85331,2060
85332,2583
85333,2522
85334,1280
85335,40
85336,2462
85337,2583
85338,2403
85339,10
85340,2522
85341,1560
85342,1920
85343,1560
85344,1280
85345,2583
85346,1140
85347,2060
85348,2060
85349,1280
85350,2583
85351,2060
85352,1160
85353,1300
85354,1280
85355,1920
85356,1302
85357,2583
85358,1280
85359,1302
85360,1300
85361,2403
85362,1320
85363,2403
85364,1320
85365,2403
85366,1300
85367,1920
85368,2583
85369,2583
85370,60
85371,1300
85372,1320
85373,2060
85374,1140
85375,2522
85376,1320
85377,10
85378,1320
85379,1920
85380,2705
85381,2585
85382,1160
85383,1920
85384,2705
85385,1280
85386,2583
85387,1140
85388,40
85389,1280
85390,2583
85391,2585
85392,2583
85393,1160
85394,2585
85395,2403
85396,2280
85397,2403
85398,2583
85399,2583
85400,2403
85401,50
85402,1920
85403,2583
85404,2060
85405,2583
85406,1320
85407,2522
85408,1560
85409,2582
85410,2060
85411,2583
85412,2060
85413,1280
85414,2582
85415,2060
85416,2705
85417,1300
85418,1300
85419,2280
85420,1280
85421,1300
85422,50
85423,2583
85424,2583
85425,2583
85426,2060
85427,2585
85428,2585
85429,1280
85430,1300
85431,1560
85432,1920
85433,2060
85434,2583
85435,2522
85436,2522
85437,1300
85438,1320
85439,50
85440,2403
85441,2403
85442,1920
85443,2403
85444,1160
85445,1280
85446,2583
85447,1560
85448,2280
85449,1560
85450,1920
85451,2462
85452,1140
85453,2060
85454,2583
85455,2583
85456,2060
85457,2705
85458,1320
85459,1300
85460,1940
85461,2403
85462,40
85463,1300
85464,2583
85465,2060
85466,1302
85467,2705
85468,2705
85469,2583
85470,1300
85471,2522
85472,1300
85473,2403
85474,1300
85475,2705
85476,1320
85477,2583
85478,1920
85479,1280
85480,2585
85481,2583
85482,1940
85483,2403
85484,1280
85485,2585
85486,1301
85487,1320
85488,1300
85489,2583
85490,2582
85491,2522
85492,2522
85493,2060
85494,2705
85495,2462
85496,1560
85497,2462
85498,1560
85499,1920
85500,1920
85501,2403
85502,1160
85503,2280
85504,1300
85505,1560
85506,2585
85507,2280
85508,1920
85509,2705
85510,2403
85511,2280
85512,2280
85513,2462
85514,2060
85515,2462
85516,1920
85517,1160
85518,2582
85519,2522
85520,1160
85521,60
85522,2060
85523,1301
85524,1302
85525,1300
85526,2403
85527,1140
85528,2403
85529,1940
85530,2583
85531,2583
85532,2462
85533,1302
85534,1560
85535,2705
85536,2403
85537,2060
85538,2280
85539,2522
85540,1300
85541,2462
85542,2403
85543,2582
85544,2583
85545,1300
85546,2462
85547,2220
85548,1920
85549,2705
85550,2403
85551,1920
85552,1320
85553,1560
85554,10
85555,60
85556,40
85557,1300
85558,1280
85559,1560
85560,2583
85561,2403
85562,1920
85563,1300
85564,1160
85565,1300
85566,10
85567,1920
85568,1300
85569,1280
85570,1300
85571,1560
85572,2583
85573,1940
85574,2583
85575,2280
85576,1302
85577,2462
85578,10
85579,1140
85580,2403
85581,2583
85582,1320
85583,2583
85584,2585
85585,2583
85586,2583
85587,2522
85588,2522
85589,2403
85590,2583
85591,1302
85592,2522
85593,1320
85594,1280
85595,2060
85596,2060
85597,2583
85598,50
85599,2583
85600,2280
85601,1301
85602,2585
85603,1920
85604,2403
85605,1280
85606,1302
85607,1320
85608,2060
85609,2220
85610,1160
85611,2403
85612,1560
85613,2522
85614,2280
85615,2583
85616,2522
85617,2403
85618,1160
85619,1301
85620,1320
85621,1160
85622,1320
85623,2583
85624,2280
85625,2060
85626,2905
85627,1160
85628,2583
85629,2582
85630,1280
85631,1160
85632,40
85633,1140
85634,1560
85635,1160
85636,2583
85637,1140
85638,1301
85639,1302
85640,2583
85641,1160
85642,1302
85643,1302
85644,2462
85645,2705
85646,1302
85647,1160
85648,1560
85649,2583
85650,1920
85651,2403
85652,2403
85653,2583
85654,1160
85655,1300
85656,2583
85657,2583
85658,2522
85659,2403
85660,1160
85661,2280
85662,50
85663,10
85664,1160
85665,2582
85666,1160
85667,1300
85668,1300
85669,1320
85670,2522
85671,2280
85672,2280
85673,2522
85674,1920
85675,2705
85676,1160
85677,2585
85678,1280
85679,2403
85680,1140
85681,1140
85682,1300
85683,1300
85684,2585
85685,1302
85686,2583
85687,2705
85688,2220
85689,1560
85690,2583
85691,2583
85692,2583
85693,2583
85694,10
85695,2403
85696,2583
85697,1160
85698,2220
85699,2522
85700,2403
85701,2403
85702,1560
85703,2522
85704,40
85705,2583
85706,50
85707,1300
85708,1300
85709,2705
85710,2403
85711,2583
85712,2905
85713,1560
85714,60
85715,1560
85716,2583
85717,2060
85718,2060
85719,1301
85720,1280
85721,1301
85722,2583
85723,2060
85724,2280
85725,2403
85726,1300
85727,2585
85728,50
85729,40
85730,2280
85731,1280
85732,2220
85733,1280
85734,2583
85735,2905
85736,1180
85737,1140
85738,1160
85739,2280
85740,1180
85741,2585
85742,2403
85743,2585
85744,2060
85745,2583
85746,1560
85747,1301
85748,2403
85749,2583
85750,1140
85751,2060
85752,2705
85753,2583
85754,1281
85755,50
85756,2583
85757,40
85758,1281
85759,1560
85760,2583
85761,2060
85762,1280
85763,2403
85764,1160
85765,1920
85766,1140
85767,40
85768,1280
85769,2522
85770,2403
85771,2060
85772,1320
85773,2583
85774,2403
85775,2705
85776,1160
85777,2280
85778,2403
85779,1160
85780,10
85781,2403
85782,2060
85783,1920
85784,50
85785,2522
85786,2280
85787,1280
85788,1300
85789,2403
85790,1160
85791,2522
85792,1320
85793,1302
85794,2583
85795,2403
85796,2583
85797,2403
85798,2585
85799,1302
85800,2583
85801,1560
85802,2585
85803,2280
85804,1560
85805,1320
85806,50
85807,1300
85808,1280
85809,1140
85810,2583
85811,2705
85812,2403
85813,2462
85814,2583
85815,2583
85816,2522
85817,1560
85818,1301
85819,10
85820,10
85821,1280
85822,2583
85823,50
85824,1320
85825,1920
85826,2280
85827,2403
85828,2280
85829,1320
85830,1302
85831,40
85832,1300
85833,1320
85834,2403
85835,2583
85836,50
85837,2583
85838,1300
85839,2403
85840,1280
85841,2583
85842,1320
85843,1140
85844,2280
85845,2462
85846,2582
85847,1920
85848,2280
85849,2403
85850,1320
85851,2583
85852,2220
85853,1160
85854,1300
85855,50
85856,2060
85857,1560
85858,1301
85859,1920
85860,2583
85861,2583
85862,2403
85863,1140
85864,1300
85865,1140
85866,2522
85867,1302
85868,2280
85869,10
85870,1300
85871,2522
85872,10
85873,1140
85874,2060
85875,2585
85876,1160
85877,2060
85878,2583
85879,1300
85880,2583
85881,2583
85882,60
85883,1140
85884,1160
85885,2522
85886,2522
85887,1300
85888,2583
85889,1560
85890,2905
85891,2403
85892,2060
85893,2403
85894,50
85895,2060
85896,1920
85897,2403
85898,2705
85899,1281
85900,2462
85901,2403
85902,1160
85903,1300
85904,2060
85905,1140
85906,2583
85907,2585
85908,1300
85909,1300
85910,2583
85911,2705
85912,1302
85913,1160
85914,2403
85915,1320
85916,2583
85917,10
85918,2583
85919,2280
85920,1302
85921,2585
85922,2583
85923,2220
85924,1160
85925,2462
85926,2060
85927,2583
85928,2583
85929,50
85930,2220
85931,1160
85932,1140
85933,2582
85934,2280
85935,1300
85936,60
85937,1280
85938,50
85939,1300
85940,1920
85941,1301
85942,2705
85943,1160
85944,2905
85945,1302
85946,2060
85947,2583
85948,50
85949,2403
85950,1920
85951,2583
85952,1302
85953,1140
85954,1300
85955,2060
85956,2403
85957,2583
85958,2583
85959,2403
85960,1280
85961,2403
85962,1280
85963,1280
85964,2280
85965,1320
85966,10
85967,2060
85968,2060
85969,2583
85970,1560
85971,2403
85972,1302
85973,1280
85974,2280
85975,1302
85976,1920
85977,1560
85978,2583
85979,2522
85980,1920
85981,2060
85982,1140
85983,1160
85984,2583
85985,1320
85986,40
85987,2583
85988,2583
85989,1920
85990,2583
85991,2522
85992,2583
85993,2522
85994,1920
85995,1140
85996,1560
85997,2280
85998,2522
85999,2583
86000,1140
86001,2403
86002,2583
86003,2583
86004,1160
86005,1301
86006,1300
86007,2403
86008,2583
86009,1301
86010,1300
86011,1280
86012,10
86013,2583
86014,2905
86015,2582
86016,2403
86017,1280
86018,1320
86019,1160
86020,1280
86021,2583
86022,1280
86023,1560
86024,1560
86025,2585
86026,2522
86027,2583
86028,2583
86029,2583
86030,1302
86031,1560
86032,1300
86033,1300
86034,2060
86035,2403
86036,2583
86037,50
86038,1280
86039,1560
86040,1320
86041,1160
86042,2583
86043,40
86044,2522
86045,2280
86046,1160
86047,1920
86048,2060
86049,1560
86050,2060
86051,2060
86052,2403
86053,2583
86054,2220
86055,1560
86056,2280
86057,2582
86058,2705
86059,2905
86060,50
86061,60
86062,2403
86063,2462
86064,1301
86065,1160
86066,2403
86067,1920
86068,1280
86069,1281
86070,1300
86071,2280
86072,1280
86073,1300
86074,1560
86075,50
86076,2403
86077,1560
86078,2583
86079,2403
86080,2220
86081,2583
86082,1300
86083,2403
86084,1920
86085,2280
86086,2582
86087,1281
86088,2060
86089,1300
86090,2583
86091,1320
86092,2522
86093,2583
86094,1320
86095,10
86096,1300
86097,1301
86098,2522
86099,1920
86100,2583
86101,2403
86102,1280
86103,1560
86104,1160
86105,2583
86106,2522
86107,1140
86108,1300
86109,1160
86110,1560
86111,1281
86112,2522
86113,1920
86114,2280
86115,1560
86116,1920
86117,1920
86118,2280
86119,1300
86120,40
86121,2403
86122,1302
86123,2705
86124,2585
86125,1160
86126,1560
86127,1281
86128,1301
86129,1140
86130,1160
86131,1302
86132,2705
86133,1320
86134,1300
86135,1280
86136,1920
86137,2060
86138,2403
86139,2060
86140,2583
86141,1300
86142,2280
86143,1280
86144,1920
86145,1302
86146,1560
86147,2060
86148,2583
86149,1280
86150,1280
86151,2582
86152,1560
86153,10
86154,2403
86155,2060
86156,2522
86157,1180
86158,1280
86159,2585
86160,1160
86161,2403
