,prdtypecode
84916,1280
84917,1160
84918,2583
84919,2583
84920,2522
84921,1300
84922,1940
84923,2280
84924,1560
84925,2583
84926,2280
84927,1280
84928,1300
84929,2705
84930,1160
84931,1300
84932,1140
84933,2280
84934,1281
84935,40
84936,1140
84937,2585
84938,2522
84939,2522
84940,2462
84941,1920
84942,1320
84943,2583
84944,1280
84945,2462
84946,2060
84947,10
84948,1560
84949,1320
84950,1920
84951,2583
84952,2060
84953,10
84954,2220
84955,1140
84956,2905
84957,2582
84958,2462
84959,1280
84960,1280
84961,1280
84962,2705
84963,2583
84964,1281
84965,2522
84966,1300
84967,2280
84968,1920
84969,2462
84970,2583
84971,2583
84972,2403
84973,40
84974,2403
84975,1920
84976,2583
84977,2583
84978,2403
84979,1320
84980,2280
84981,2280
84982,1160
84983,2280
84984,2583
84985,2585
84986,2280
84987,2583
84988,2582
84989,2280
84990,1560
84991,1281
84992,2522
84993,2280
84994,1280
84995,50
84996,2060
84997,2583
84998,1300
84999,1920
85000,10
85001,1560
85002,2583
85003,2583
85004,1300
85005,2585
85006,1140
85007,2280
85008,2403
85009,1300
85010,2583
85011,1560
85012,1140
85013,2583
85014,1940
85015,1320
85016,2583
85017,2583
85018,1160
85019,2585
85020,2583
85021,2280
85022,2403
85023,10
85024,2522
85025,2585
85026,1281
85027,2280
85028,2583
85029,2220
85030,2280
85031,2522
85032,40
85033,10
85034,1160
85035,1560
85036,2583
85037,2522
85038,40
85039,1920
85040,2705
85041,1280
85042,1280
85043,2220
85044,2705
85045,1560
85046,1320
85047,2583
85048,1280
85049,1320
85050,2583
85051,1302
85052,2905
85053,1140
85054,2280
85055,2583
85056,1281
85057,1160
85058,2705
85059,2280
85060,1320
85061,2583
85062,1320
85063,1300
85064,1560
85065,1280
85066,2403
85067,2280
85068,1300
85069,40
85070,2583
85071,1920
85072,1281
85073,40
85074,1160
85075,2705
85076,1920
85077,1300
85078,1320
85079,2403
85080,1160
85081,2462
85082,1302
85083,2522
85084,1560
85085,2583
85086,2585
85087,1281
85088,1140
85089,1140
85090,2583
85091,2583
85092,2522
85093,2705
85094,2280
85095,2060
85096,1160
85097,1920
85098,2583
85099,2462
85100,2403
85101,1300
85102,2583
85103,2060
85104,10
85105,2522
85106,2583
85107,2583
85108,2585
85109,2280
85110,2705
85111,2583
85112,2583
85113,2583
85114,2403
85115,1300
85116,2522
85117,2583
85118,1300
85119,1940
85120,2403
85121,1280
85122,1920
85123,1280
85124,1920
85125,1300
85126,2705
85127,1560
85128,2583
85129,50
85130,1140
85131,1320
85132,2582
85133,2583
85134,2582
85135,1281
85136,1140
85137,2522
85138,2060
85139,1140
85140,2403
85141,2583
85142,2403
85143,1300
85144,2905
85145,2583
85146,1300
85147,2583
85148,1280
85149,2403
85150,1280
85151,2522
85152,40
85153,2705
85154,1940
85155,1320
85156,2522
85157,2583
85158,2522
85159,2705
85160,10
85161,2583
85162,1920
85163,2522
85164,2462
85165,1280
85166,1560
85167,1160
85168,1300
85169,2403
85170,50
85171,2522
85172,1160
85173,10
85174,2583
85175,1920
85176,1920
85177,1160
85178,1280
85179,2583
85180,10
85181,1920
85182,1300
85183,1301
85184,1920
85185,1140
85186,40
85187,1920
85188,1302
85189,1300
85190,2582
85191,2705
85192,1920
85193,2522
85194,1920
85195,2462
85196,1560
85197,2522
85198,2583
85199,2403
85200,1560
85201,2060
85202,1280
85203,1300
85204,2522
85205,2583
85206,2582
85207,1160
85208,1140
85209,2280
85210,1281
85211,10
85212,1320
85213,1281
85214,1560
85215,2280
85216,2280
85217,2522
