,prdtypecode
84916,0
84917,18
84918,2
84919,7
84920,25
84921,18
84922,0
84923,21
84924,7
84925,22
84926,13
84927,13
84928,7
84929,14
84930,13
84931,21
84932,19
84933,21
84934,4
84935,18
84936,23
84937,7
84938,4
84939,4
84940,9
84941,20
84942,7
84943,21
84944,18
84945,5
84946,16
84947,1
84948,13
84949,21
84950,8
84951,13
84952,16
84953,8
84954,14
84955,23
84956,3
84957,6
84958,21
84959,8
84960,18
84961,14
84962,0
84963,1
84964,5
84965,7
84966,1
84967,0
84968,8
84969,23
84970,19
84971,7
84972,25
84973,19
84974,23
84975,9
84976,7
84977,19
84978,12
84979,9
84980,23
84981,23
84982,4
84983,16
84984,18
84985,19
84986,23
84987,20
84988,4
84989,22
84990,19
84991,18
84992,7
84993,16
84994,13
84995,11
84996,2
84997,9
84998,17
84999,16
85000,23
85001,13
85002,20
85003,16
85004,7
85005,21
85006,23
85007,23
85008,14
85009,7
85010,21
85011,13
85012,19
85013,21
85014,4
85015,16
85016,22
85017,1
85018,18
85019,14
85020,9
85021,9
85022,25
85023,1
85024,23
85025,5
85026,4
85027,25
85028,18
85029,0
85030,11
85031,5
85032,23
85033,23
85034,23
85035,13
85036,11
85037,16
85038,19
85039,16
85040,7
85041,11
85042,4
85043,19
85044,7
85045,18
85046,23
85047,0
85048,13
85049,13
85050,9
85051,7
85052,7
85053,18
85054,12
85055,23
85056,9
85057,25
85058,1
85059,12
85060,25
85061,23
85062,9
85063,16
85064,26
85065,21
85066,0
85067,2
85068,23
85069,9
85070,8
85071,5
85072,21
85073,14
85074,13
85075,21
85076,4
85077,18
85078,24
85079,2
85080,25
85081,2
85082,18
85083,23
85084,4
85085,18
85086,13
85087,23
85088,7
85089,18
85090,23
85091,16
85092,24
85093,14
85094,23
85095,5
85096,3
85097,9
85098,13
85099,16
85100,23
85101,11
85102,0
85103,16
85104,12
85105,19
85106,16
85107,12
85108,19
85109,19
85110,13
85111,1
85112,4
85113,25
85114,21
85115,9
85116,15
85117,23
85118,7
85119,15
85120,1
85121,14
85122,23
85123,2
85124,23
85125,7
85126,21
85127,2
85128,16
85129,16
85130,7
85131,7
85132,16
85133,25
85134,23
85135,9
85136,13
85137,12
85138,18
85139,13
85140,23
85141,5
85142,14
85143,9
85144,5
85145,8
85146,12
85147,21
85148,18
85149,18
85150,23
85151,9
85152,19
85153,9
85154,1
85155,14
85156,5
85157,23
85158,23
85159,21
85160,25
85161,12
85162,11
85163,0
85164,23
85165,16
85166,14
85167,13
85168,1
85169,14
85170,21
85171,19
85172,14
85173,10
85174,0
85175,25
85176,16
85177,14
85178,25
85179,13
85180,23
85181,23
85182,22
85183,7
85184,14
85185,11
85186,3
85187,13
85188,22
85189,13
85190,7
85191,24
85192,4
85193,4
85194,21
85195,8
85196,7
85197,22
85198,1
85199,19
85200,21
85201,18
85202,1
85203,26
85204,5
85205,10
85206,12
85207,19
85208,4
85209,9
85210,7
85211,11
85212,23
85213,21
85214,19
85215,3
85216,0
85217,22
85218,22
85219,13
85220,4
85221,13
85222,11
85223,14
85224,21
85225,14
85226,5
85227,16
85228,23
85229,21
85230,7
85231,9
85232,23
85233,23
85234,18
85235,23
85236,17
85237,12
85238,25
85239,16
85240,20
85241,18
85242,23
85243,7
85244,23
85245,12
85246,0
85247,7
85248,1
85249,7
85250,9
85251,0
85252,13
85253,16
85254,17
85255,24
85256,16
85257,2
85258,22
85259,23
85260,23
85261,16
85262,1
85263,4
85264,9
85265,7
85266,14
85267,9
85268,24
85269,0
85270,17
85271,17
85272,8
85273,23
85274,9
85275,21
85276,9
85277,7
85278,4
85279,25
85280,4
85281,21
85282,20
85283,19
85284,14
85285,16
85286,4
85287,11
85288,0
85289,18
85290,19
85291,3
85292,14
85293,13
85294,24
85295,13
85296,18
85297,9
85298,12
85299,12
85300,23
85301,19
85302,0
85303,13
85304,21
85305,20
85306,4
85307,0
85308,19
85309,9
85310,12
85311,7
85312,4
85313,21
85314,22
85315,9
85316,6
85317,16
85318,9
85319,0
85320,8
85321,22
85322,15
85323,22
85324,7
85325,4
85326,9
85327,16
85328,13
85329,24
85330,18
85331,2
85332,19
85333,19
85334,4
85335,11
85336,14
85337,1
85338,2
85339,21
85340,2
85341,13
85342,23
85343,9
85344,5
85345,24
85346,24
85347,17
85348,0
85349,20
85350,13
85351,18
85352,18
85353,13
85354,18
85355,7
85356,19
85357,7
85358,15
85359,5
85360,13
85361,9
85362,14
85363,5
85364,21
85365,20
85366,12
85367,14
85368,22
85369,11
85370,9
85371,18
85372,23
85373,0
85374,19
85375,8
85376,0
85377,16
85378,16
85379,16
85380,18
85381,19
85382,9
85383,9
85384,24
85385,14
85386,24
85387,16
85388,23
85389,13
85390,4
85391,23
85392,0
85393,25
85394,23
85395,7
85396,25
85397,2
85398,4
85399,1
85400,7
85401,4
85402,2
85403,22
85404,17
85405,21
85406,18
85407,2
85408,24
85409,22
85410,13
85411,7
85412,9
85413,22
85414,23
85415,18
85416,23
85417,8
85418,9
85419,21
85420,23
85421,13
85422,20
85423,2
85424,23
85425,24
85426,23
85427,18
85428,19
85429,0
85430,25
85431,25
85432,9
85433,18
85434,18
85435,18
85436,14
85437,19
85438,23
85439,24
85440,6
85441,21
85442,16
85443,13
85444,25
85445,2
85446,3
85447,7
85448,24
85449,23
85450,23
85451,18
85452,24
85453,7
85454,0
85455,18
85456,13
85457,24
85458,14
85459,17
85460,14
85461,22
85462,19
85463,16
85464,11
85465,19
85466,25
85467,23
85468,7
85469,16
85470,25
85471,2
85472,1
85473,1
85474,23
85475,21
85476,12
85477,24
85478,19
85479,25
85480,11
85481,22
85482,23
85483,7
85484,5
85485,21
85486,9
85487,4
85488,18
85489,13
85490,23
85491,22
85492,11
85493,9
85494,20
85495,11
85496,0
85497,21
85498,12
85499,16
85500,25
85501,11
85502,5
85503,16
85504,12
85505,20
85506,19
85507,5
85508,19
85509,23
85510,7
85511,14
85512,20
85513,13
85514,7
85515,25
85516,9
85517,9
85518,24
85519,23
85520,25
85521,21
85522,18
85523,23
85524,13
85525,7
85526,23
85527,26
85528,7
85529,0
85530,16
85531,12
85532,20
85533,11
85534,18
85535,13
85536,19
85537,18
85538,0
85539,23
85540,0
85541,20
85542,11
85543,13
85544,7
85545,24
85546,9
85547,12
85548,19
85549,13
85550,21
85551,23
85552,4
85553,16
85554,21
85555,19
85556,9
85557,16
85558,21
85559,21
85560,5
85561,13
85562,5
85563,22
85564,23
85565,22
85566,16
85567,21
85568,14
85569,26
85570,19
85571,23
85572,1
85573,9
85574,16
85575,23
85576,21
85577,8
85578,8
85579,7
85580,18
85581,24
85582,6
85583,5
85584,11
85585,20
85586,7
85587,14
85588,26
85589,11
85590,16
85591,25
85592,21
85593,16
85594,8
85595,20
85596,20
85597,18
85598,18
85599,21
85600,19
85601,7
85602,5
85603,11
85604,13
85605,25
85606,13
85607,26
85608,23
85609,0
85610,3
85611,19
85612,8
85613,1
85614,7
85615,16
85616,24
85617,23
85618,15
85619,0
85620,21
85621,25
85622,18
85623,4
85624,13
85625,24
85626,12
85627,21
85628,23
85629,21
85630,13
85631,23
85632,11
85633,16
85634,13
85635,23
85636,23
85637,6
85638,23
85639,23
85640,15
85641,13
85642,21
85643,1
85644,12
85645,11
85646,23
85647,12
85648,14
85649,8
85650,18
85651,19
85652,9
85653,24
85654,5
85655,18
85656,23
85657,23
85658,19
85659,5
85660,4
85661,26
85662,23
85663,6
85664,21
85665,23
85666,2
85667,12
85668,1
85669,4
85670,19
85671,9
85672,4
85673,23
85674,13
85675,24
85676,9
85677,24
85678,8
85679,16
85680,6
85681,20
85682,18
85683,16
85684,16
85685,13
85686,19
85687,21
85688,9
85689,18
85690,25
85691,24
85692,2
85693,25
85694,24
85695,9
85696,16
85697,23
85698,16
85699,7
85700,14
85701,2
85702,21
85703,19
85704,21
85705,21
85706,23
85707,9
85708,16
85709,23
85710,18
85711,25
85712,9
85713,23
85714,9
85715,26
85716,22
85717,5
85718,14
85719,19
85720,11
85721,24
85722,22
85723,23
85724,25
85725,5
85726,4
85727,23
85728,19
85729,16
85730,5
85731,7
85732,22
85733,23
85734,23
85735,11
85736,11
85737,9
85738,18
85739,7
85740,16
85741,13
85742,23
85743,20
85744,22
85745,1
85746,16
85747,5
85748,21
85749,21
85750,4
85751,21
85752,19
85753,0
85754,23
85755,14
85756,23
85757,7
85758,19
85759,18
85760,12
85761,7
85762,18
85763,21
85764,16
85765,21
85766,22
85767,0
85768,18
85769,21
85770,21
85771,11
85772,7
85773,7
85774,8
85775,1
85776,11
85777,21
85778,22
85779,14
85780,25
85781,21
85782,7
85783,23
85784,5
85785,13
85786,22
85787,25
85788,22
85789,19
85790,22
85791,23
85792,11
85793,18
85794,19
85795,25
85796,13
85797,23
85798,12
85799,23
85800,7
85801,13
85802,8
85803,14
85804,14
85805,4
85806,23
85807,16
85808,20
85809,5
85810,2
85811,18
85812,19
85813,9
85814,21
85815,16
85816,20
85817,9
85818,21
85819,14
85820,16
85821,14
85822,25
85823,23
85824,17
85825,9
85826,19
85827,23
85828,23
85829,8
