,prdtypecode
84916,1281
84917,1160
84918,2583
84919,2583
84920,2522
84921,1300
84922,1940
84923,2280
84924,1560
84925,2583
84926,2280
84927,1280
84928,1300
84929,2403
84930,1160
84931,1300
84932,1140
84933,2403
84934,1281
84935,2462
84936,1140
84937,2585
84938,2522
84939,2522
84940,2462
84941,1920
84942,1320
84943,2583
84944,1280
84945,2462
84946,2060
84947,40
84948,2582
84949,2585
84950,1920
84951,2583
84952,2060
84953,10
84954,2220
84955,1140
84956,2905
84957,2582
84958,2462
84959,1280
84960,1281
84961,1280
84962,2705
84963,2583
84964,1280
84965,2522
84966,1300
84967,2403
84968,1920
84969,2462
84970,2583
84971,2583
84972,10
84973,40
84974,2280
84975,1920
84976,2583
84977,2583
84978,2403
84979,1560
84980,2280
84981,2280
84982,1160
84983,2280
84984,2583
84985,2585
84986,2280
84987,2583
84988,2582
84989,2280
84990,1560
84991,1281
84992,2522
84993,2280
84994,1280
84995,50
84996,2060
84997,2583
84998,1300
84999,1920
85000,10
85001,1560
85002,2583
85003,2583
85004,1300
85005,2585
85006,1140
85007,1280
85008,2403
85009,1280
85010,2583
85011,1560
85012,1140
85013,2583
85014,2705
85015,1320
85016,2583
85017,2583
85018,1160
85019,2585
85020,2583
85021,2280
85022,2403
85023,2403
85024,2522
85025,2585
85026,1281
85027,2280
85028,2583
85029,2220
85030,2280
85031,2522
85032,40
85033,1940
85034,1160
85035,10
85036,2583
85037,1302
85038,40
85039,1920
85040,2403
85041,1280
85042,2060
85043,2220
85044,10
85045,1560
85046,1320
85047,2583
85048,1280
85049,1320
85050,2583
85051,1302
85052,2905
85053,1140
85054,2280
85055,2585
85056,1281
85057,1160
85058,2403
85059,2280
85060,1320
85061,2583
85062,1320
85063,1300
85064,1560
85065,1281
85066,2403
85067,2403
85068,1300
85069,40
85070,2583
85071,1920
85072,1281
85073,40
85074,1160
85075,40
85076,1920
85077,1300
85078,1320
85079,2403
85080,1160
85081,2462
85082,1302
85083,1940
85084,50
85085,2583
85086,2585
85087,10
85088,1140
85089,1140
85090,2583
85091,2583
85092,2522
85093,10
85094,2280
85095,2060
85096,1160
85097,1920
85098,2583
85099,2462
85100,2403
85101,1300
85102,2583
85103,1320
85104,10
85105,2522
85106,2583
85107,2583
85108,2585
85109,10
85110,2403
85111,2583
85112,2583
85113,2583
85114,2403
85115,1300
85116,2522
85117,2583
85118,1300
85119,1940
85120,2403
85121,1280
85122,1920
85123,1280
85124,1920
85125,1300
85126,2705
85127,1560
85128,2583
85129,50
85130,2462
85131,1320
85132,2582
85133,2583
85134,2582
85135,1280
85136,1140
85137,2522
85138,2060
85139,1140
85140,10
85141,2583
85142,1320
85143,1300
85144,2905
85145,2583
85146,1300
85147,2583
85148,1320
85149,1180
85150,1280
85151,2522
85152,40
85153,2280
85154,1940
85155,1320
85156,2522
85157,2583
85158,2522
85159,2705
85160,2403
85161,2583
85162,1920
85163,2522
85164,2462
85165,1280
85166,2582
85167,1160
85168,1300
85169,2403
85170,50
85171,2522
85172,1160
85173,40
85174,2583
85175,1920
85176,1920
85177,1160
85178,1280
85179,2583
85180,2522
85181,1920
85182,1300
85183,1301
85184,1920
85185,1140
85186,1280
85187,1920
85188,1280
85189,1300
85190,2582
85191,2060
85192,1320
85193,2522
85194,1920
85195,50
85196,1560
85197,2522
85198,2583
85199,2403
85200,1560
85201,2060
85202,1280
85203,1300
85204,2522
85205,2583
85206,2403
85207,1160
85208,1140
85209,2280
85210,1280
85211,10
85212,1320
85213,1281
85214,1560
85215,2280
85216,2280
85217,2522
85218,2280
85219,2060
85220,1140
85221,1920
85222,1920
85223,1140
85224,1920
85225,2585
85226,1280
85227,2403
85228,1560
85229,1140
85230,1300
85231,2060
85232,1300
85233,1302
85234,1300
85235,10
85236,1160
85237,1940
85238,2585
85239,50
85240,2280
85241,2583
85242,1280
85243,2585
85244,1320
85245,1560
85246,2705
85247,2583
85248,2705
85249,2583
85250,2705
85251,2585
85252,1560
85253,1300
85254,1300
85255,2583
85256,2522
85257,2583
85258,1300
85259,1300
85260,1560
85261,10
85262,1920
85263,2403
85264,2403
85265,10
85266,2583
85267,1300
85268,1940
85269,1560
85270,1140
85271,2280
85272,1920
85273,2705
85274,1920
